Marker,Cell_Type,Cell_Type2,Subset_Type,Subset_Type2,Paper,Notes
FPR1,Neutrophil,,,,https://support.10xgenomics.com/csv/BloodCell.csv?src=display&lss=biocompare&cnm=&cid=NULL,Detected in neutrophils 
MNDA,Neutrophil,,,,https://support.10xgenomics.com/csv/BloodCell.csv?src=display&lss=biocompare&cnm=&cid=NULL,Detected in neutrophils 
NAMPT,Neutrophil,,,,https://support.10xgenomics.com/csv/BloodCell.csv?src=display&lss=biocompare&cnm=&cid=NULL,Detected in neutrophils 
LYZ,Monocyte,Dendritic ,,,https://satijalab.org/seurat/articles/pbmc3k_tutorial.html,Detected in monocytes and dendritic cells
MS4A7,Monocyte,,FCGR3A+Mono,,"https://satijalab.org/seurat/articles/pbmc3k_tutorial.html,https://www.nature.com/articles/s41467-021-27619-4#MOESM1",Detected in monocytes 
FCGR3A,Monocyte,,FCGR3A+Mono,,https://satijalab.org/seurat/articles/pbmc3k_tutorial.html,Detected in monocytes 
GNLY,NK,,,,https://satijalab.org/seurat/articles/pbmc3k_tutorial.html,Detected in NK cells 
NKG7,NK,T_cell,,NKT,https://satijalab.org/seurat/articles/pbmc3k_tutorial.html,Detected in NK cells and T-cells 
FCER1A,Dendritic,Basophil ,,,https://satijalab.org/seurat/articles/pbmc3k_tutorial.html,Detected mainly in basophils but dendritic cells too 
CST3,Dendritic,Monocyte,,,https://satijalab.org/seurat/articles/pbmc3k_tutorial.html,Detected in dendritic and monocyte cells 
PPBP,Platelet,Megakaryocyte,,,"https://satijalab.org/seurat/articles/pbmc3k_tutorial.html,https://www.nature.com/articles/s41467-021-25771-5",Detected some basophils and neutrophils 
MST1R,Monocyte,,,,https://www.nature.com/articles/s41467-021-27619-4#MOESM1,Not detected in immune cells 
CD68,Macrophage,Monocyte,,,https://www.nature.com/articles/s41467-021-27619-4#MOESM1,Detected in monocytes and dendritic cells
CLDN5,Endothelial,,,,https://www.nature.com/articles/s41467-021-27619-4#MOESM1,"Detected in basophils, neutrophils, and t-cells"
RAMP2,Endothelial,,,,https://www.nature.com/articles/s41467-021-27619-4#MOESM1,Detected in dendritic cells 
KLRD1,NK,T_cell,,,https://www.nature.com/articles/s41467-021-27619-4#MOESM1,Detected  in NK and T-cells 
IL3RA,Dendritic,Basophil ,pDC,,https://www.nature.com/articles/s41467-021-27619-4#MOESM1,Detected in basophils 
RGS5,Pericytes,,,,https://www.nature.com/articles/s41467-021-27619-4#MOESM1,Not detected in immune cells 
ITGAX,Dendritic,Neutrophil ,cDC,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5775029/,Detected in neutrophils and monocytes 
CD1C,Dendritic,,mDC,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5775029/,Detected in dendritic cells and B-cells 
NCAM1,NK,T_cell,,gammadeltaTcell,https://www.nature.com/articles/s41467-021-25771-5,Detected in NK-cells 
MME,B_cell,Neutrophil ,,,https://www.nature.com/articles/s41467-021-25771-5,Detected in neutrophils 
CD19,B_cell,,,,https://www.nature.com/articles/s41467-021-25771-5,Detected in B-cells 
LILRA4,Dendritic,,pDC,,https://www.nature.com/articles/s41467-021-25771-5,Detected in dendritic cells 
CD34,Progenitor,,,,https://www.nature.com/articles/s41467-021-25771-5,Not detected in immune cells 
HBB,Erythrocyte,,,,https://www.nature.com/articles/s41467-021-25771-5,Detected in total PBMC 
HBG2,Erythrocyte,,Fetal_HbRBC,,https://www.frontiersin.org/articles/10.3389/fphys.2022.828700/full,Not detected 
BTF3,Erythrocyte,,Fetal_HbRBC,,https://www.frontiersin.org/articles/10.3389/fphys.2022.828700/full,Detected in all 
HBD,Erythrocyte,,Reticulocytes,,https://www.frontiersin.org/articles/10.3389/fphys.2022.828700/full,"Detected in neutrophils, eosinophils, and dendritic cells "
FAM210B,Erythrocyte,,Reticulocytes,,https://www.frontiersin.org/articles/10.3389/fphys.2022.828700/full,Detected in mostly eosinophils but in all 
SNCA,Erythrocyte,,Reticulocytes,,https://www.frontiersin.org/articles/10.3389/fphys.2022.828700/full,Detected in dendritic cells
GATA1,Erythrocyte,,,,https://academic.oup.com/view-large/figure/267860195/nwaa180fig1.jpeg,Detected in eosinophils  
SGPL1,Neutrophil,Monocyte,,,https://academic.oup.com/view-large/figure/267860195/nwaa180fig1.jpeg,Detected in monocytes and neurtophils 
GNG11,Megakaryocyte,,,,https://www.nature.com/articles/s41467-019-14118-w,Detected in neutrophils and basophils 
TCF4,Dendritic,,pDC,,https://www.nature.com/articles/s41467-019-14118-w,Detected in dendritic cells 
S100A8,Granulocyte,,,,https://www.nature.com/articles/s41467-019-14118-w,Detected in monocytes and neutrophils 
WDFY4,Dendritic,,mDC1,,https://www.nature.com/articles/s41467-019-14118-w,Detected in dendritic cells 
CD38,B_cell,T_cell,plasmablast,activatedT_cell,https://www.nature.com/articles/s41467-019-14118-w,"Detected in NK-cells, B cells, and dendritic cells "
IGHD,B_cell,,,,https://www.nature.com/articles/s41467-019-14118-w,Detected in B- Cells
TRDC,NK,,deltagamma_Tcell,,https://www.nature.com/articles/s41467-019-14118-w,Detected in NK-cells and gdT-cells
PF4,Platelet,,,,,Detected in neutrophils 
CCL5,T_cell,NK,deltagamma_Tcell,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,Detected in T-cells and NK-cells 
IGKC,B_cell,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,Detected in B-cells 
MS4A1,B_cell,,naïve,memory,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,Detected in B-cells 
